seed,net_worth,trades,final_cash,final_position
5233,1047.5376639728988,6,1047.5376639728988,0.0
5234,897.2889723020223,3,53.25729492150231,10.0
5235,1026.8193417866337,4,1026.8193417866337,0.0
5236,816.1724450982758,7,19.50304930429388,11.0
5237,945.8872562101998,5,64.53522671153758,10.0
5238,1019.5609563907936,2,1019.5609563907936,0.0
5239,1069.270310757901,13,46.75804849283145,13.0
5240,1012.3188140911138,2,1012.3188140911138,0.0
5241,1003.7276151016952,7,39.92588958043723,11.0
5242,1030.1683990118008,4,1030.1683990118008,0.0
5243,1043.5134635313204,6,1043.5134635313204,0.0
5244,1015.9297716816925,2,1015.9297716816925,0.0
5245,1019.3901806022382,2,1019.3901806022382,0.0
5246,1012.140648274877,2,1012.140648274877,0.0
5247,859.0805358868822,5,73.89057745881576,10.0
5248,762.9438817633104,1,12.085194812914892,10.0
5249,1039.2487489042903,4,1039.2487489042903,0.0
5250,1043.0121644711958,6,1043.0121644711958,0.0
5251,1047.6521060301488,6,1047.6521060301488,0.0
5252,1056.708136058111,8,1056.708136058111,0.0
5253,1015.1087664959224,2,1015.1087664959224,0.0
5254,1011.2626274852961,2,1011.2626274852961,0.0
5255,1025.9201122050683,2,1025.9201122050683,0.0
5256,1042.718590351071,6,1042.718590351071,0.0
5257,1022.5561230638572,7,5.538524619987356,11.0
5258,785.0887016540805,3,31.86688108416911,10.0
5259,1071.743165184012,11,54.37082550480045,12.0
5260,1039.7064753912027,4,1039.7064753912027,0.0
5261,1048.57819720227,6,1048.57819720227,0.0
5262,1030.7397900230144,4,1030.7397900230144,0.0
5263,1036.380024196771,4,1036.380024196771,0.0
5264,1021.2042691220042,2,1021.2042691220042,0.0
5265,1028.1483330156,4,1028.1483330156,0.0
5266,1010.5839181750182,2,1010.5839181750182,0.0
5267,1042.375574497447,6,1042.375574497447,0.0
5268,1047.938108199266,6,1047.938108199266,0.0
5269,781.1217867998732,5,40.00948572469906,10.0
5270,1043.6860246154838,6,1043.6860246154838,0.0
5271,1032.7236711747003,4,1032.7236711747003,0.0
5272,899.0821021923512,11,38.236788004674736,12.0
5273,1016.0434902295032,2,1016.0434902295032,0.0
5274,1049.9376686428413,8,1049.9376686428413,0.0
5275,946.0666847218646,3,25.171157092252656,10.0
5276,1034.8275597213592,4,1034.8275597213592,0.0
5277,1014.0731936996714,2,1014.0731936996714,0.0
5278,1009.6633677084129,2,1009.6633677084129,0.0
5279,1028.1224683202013,4,1028.1224683202013,0.0
5280,1052.4828316104476,6,1052.4828316104476,0.0
5281,1003.8010754724069,5,7.244961752097538,11.0
5282,1009.8124026705466,3,38.66129979001005,10.0
5283,895.6709368028331,5,66.12164790312352,10.0
5284,1028.6114682896757,4,1028.6114682896757,0.0
5285,1035.402176967695,6,1035.402176967695,0.0
5286,1010.7985054158858,2,1010.7985054158858,0.0
5287,831.9587267971544,7,47.167660129576575,11.0
5288,748.7005215838519,1,94.60237905918063,9.0
5289,1074.5770903400507,12,1074.5770903400507,0.0
5290,981.4611102731836,5,9.218784975606468,11.0
5291,1045.329169644078,6,1045.329169644078,0.0
5292,1050.8963549556158,6,1050.8963549556158,0.0
5293,1032.3746705845747,4,1032.3746705845747,0.0
5294,1017.4802784822814,2,1017.4802784822814,0.0
5295,1029.4311891154202,4,1029.4311891154202,0.0
5296,1050.4663022663476,7,33.24873173091055,11.0
5297,1037.7238605721327,6,1037.7238605721327,0.0
5298,1009.7220483832998,2,1009.7220483832998,0.0
5299,892.8351220077528,3,23.878391419369223,10.0
5300,1015.842327467408,2,1015.842327467408,0.0
5301,1037.9077051038125,6,1037.9077051038125,0.0
5302,717.3111438051661,1,76.44191450057622,9.0
5303,649.2574022001608,1,3.2742199663535985,10.0
5304,1054.0018382107028,8,1054.0018382107028,0.0
5305,1019.5993994363008,2,1019.5993994363008,0.0
5306,1013.8046624555581,2,1013.8046624555581,0.0
5307,904.2323913488974,7,9.651153785607903,11.0
5308,1024.245446961033,2,1024.245446961033,0.0
5309,972.8191260838998,1,93.97314602035999,9.0
5310,1034.9875417308385,4,1034.9875417308385,0.0
5311,1059.4791586235974,8,1059.4791586235974,0.0
5312,1011.9664054115264,2,1011.9664054115264,0.0
5313,853.5334172859626,1,90.72893106425579,9.0
5314,979.9314744816461,5,78.14809490548964,10.0
5315,811.4841534675961,1,83.65294698816558,9.0
5316,1010.1912793238142,2,1010.1912793238142,0.0
5317,1016.1655653604748,2,1016.1655653604748,0.0
5318,1048.3434861088967,11,20.835757832583113,12.0
5319,1040.746462595297,4,1040.746462595297,0.0
5320,1071.297588807296,10,1071.297588807296,0.0
5321,1029.4426581575285,4,1029.4426581575285,0.0
5322,1009.6858388021517,2,1009.6858388021517,0.0
5323,940.0894634182737,3,31.235832338158843,10.0
5324,909.1877432930484,3,37.66993238156033,10.0
5325,987.1344591278576,5,80.94170874171903,10.0
5326,1013.305277846786,2,1013.305277846786,0.0
5327,1042.7786437400114,6,1042.7786437400114,0.0
5328,1012.5543710821372,2,1012.5543710821372,0.0
5329,970.3047037716276,1,1.46330312376665,10.0
5330,775.8749271027234,1,94.12354519773271,9.0
5331,1021.6551148608493,4,1021.6551148608493,0.0
